k,Instance_Index,MRR,Precision,IRR
5,0,0.5,0.2,0.055874216790522
10,0,0.5,0.2,0.1419336764050545
20,0,0.5,0.15,0.36349280638587894
5,1,0.5,0.2,0.055874216790522
10,1,0.5,0.2,0.1419336764050545
20,1,0.5,0.15,0.36349280638587894
5,2,0.5,0.2,0.055874216790522
10,2,0.5,0.2,0.1419336764050545
20,2,0.5,0.15,0.36349280638587894
5,3,0.5,0.2,0.055874216790522
10,3,0.5,0.2,0.1419336764050545
20,3,0.5,0.15,0.36349280638587894
5,4,0.5,0.2,0.055874216790522
10,4,0.5,0.2,0.1419336764050545
20,4,0.5,0.15,0.36349280638587894
5,5,0.5,0.2,0.055874216790522
10,5,0.5,0.2,0.1419336764050545
20,5,0.5,0.15,0.36349280638587894
5,6,0.5,0.2,0.055874216790522
10,6,0.5,0.2,0.1419336764050545
20,6,0.5,0.15,0.36349280638587894
5,7,0.5,0.2,0.055874216790522
10,7,0.5,0.2,0.1419336764050545
20,7,0.5,0.15,0.36349280638587894
5,8,0.5,0.2,0.055874216790522
10,8,0.5,0.2,0.1419336764050545
20,8,0.5,0.15,0.36349280638587894
5,9,0.5,0.2,0.055874216790522
10,9,0.5,0.2,0.1419336764050545
20,9,0.5,0.15,0.36349280638587894
5,10,0.5,0.2,0.055874216790522
10,10,0.5,0.2,0.1419336764050545
20,10,0.5,0.15,0.36349280638587894
5,11,0.5,0.2,0.055874216790522
10,11,0.5,0.2,0.1419336764050545
20,11,0.5,0.15,0.36349280638587894
5,12,0.5,0.2,0.055874216790522
10,12,0.5,0.2,0.1419336764050545
20,12,0.5,0.15,0.36349280638587894
5,13,0.5,0.2,0.055874216790522
10,13,0.5,0.2,0.1419336764050545
20,13,0.5,0.15,0.36349280638587894
5,14,0.5,0.2,0.055874216790522
10,14,0.5,0.2,0.1419336764050545
20,14,0.5,0.15,0.36349280638587894
5,15,0.5,0.2,0.055874216790522
10,15,0.5,0.2,0.1419336764050545
20,15,0.5,0.15,0.36349280638587894
5,16,0.5,0.2,0.055874216790522
10,16,0.5,0.2,0.1419336764050545
20,16,0.5,0.15,0.36349280638587894
5,17,0.5,0.2,0.055874216790522
10,17,0.5,0.2,0.1419336764050545
20,17,0.5,0.15,0.36349280638587894
5,18,0.5,0.2,0.055874216790522
10,18,0.5,0.2,0.1419336764050545
20,18,0.5,0.15,0.36349280638587894
5,19,0.5,0.2,0.055874216790522
10,19,0.5,0.2,0.1419336764050545
20,19,0.5,0.15,0.36349280638587894
5,20,0.5,0.2,0.055874216790522
10,20,0.5,0.2,0.1419336764050545
20,20,0.5,0.15,0.36349280638587894
5,21,0.5,0.2,0.055874216790522
10,21,0.5,0.2,0.1419336764050545
20,21,0.5,0.15,0.36349280638587894
5,22,0.5,0.2,0.055874216790522
10,22,0.5,0.2,0.1419336764050545
20,22,0.5,0.15,0.36349280638587894
5,23,0.5,0.2,0.055874216790522
10,23,0.5,0.2,0.1419336764050545
20,23,0.5,0.15,0.36349280638587894
5,24,0.5,0.2,0.055874216790522
10,24,0.5,0.2,0.1419336764050545
20,24,0.5,0.15,0.36349280638587894
5,25,0.5,0.2,0.055874216790522
10,25,0.5,0.2,0.1419336764050545
20,25,0.5,0.15,0.36349280638587894
5,26,0.5,0.2,0.055874216790522
10,26,0.5,0.2,0.1419336764050545
20,26,0.5,0.15,0.36349280638587894
5,27,0.5,0.2,0.055874216790522
10,27,0.5,0.2,0.1419336764050545
20,27,0.5,0.15,0.36349280638587894
5,28,0.5,0.2,0.055874216790522
10,28,0.5,0.2,0.1419336764050545
20,28,0.5,0.15,0.36349280638587894
5,29,0.5,0.2,0.055874216790522
10,29,0.5,0.2,0.1419336764050545
20,29,0.5,0.15,0.36349280638587894
5,30,0.5,0.2,0.055874216790522
10,30,0.5,0.2,0.1419336764050545
20,30,0.5,0.15,0.36349280638587894
5,31,0.5,0.2,0.055874216790522
10,31,0.5,0.2,0.1419336764050545
20,31,0.5,0.15,0.36349280638587894
5,32,0.5,0.2,0.055874216790522
10,32,0.5,0.2,0.1419336764050545
20,32,0.5,0.15,0.36349280638587894
5,33,0.5,0.2,0.055874216790522
10,33,0.5,0.2,0.1419336764050545
20,33,0.5,0.15,0.36349280638587894
5,34,0.5,0.2,0.055874216790522
10,34,0.5,0.2,0.1419336764050545
20,34,0.5,0.15,0.36349280638587894
5,35,0.5,0.2,0.055874216790522
10,35,0.5,0.2,0.1419336764050545
20,35,0.5,0.15,0.36349280638587894
5,36,0.5,0.2,0.055874216790522
10,36,0.5,0.2,0.1419336764050545
20,36,0.5,0.15,0.36349280638587894
5,37,0.5,0.2,0.055874216790522
10,37,0.5,0.2,0.1419336764050545
20,37,0.5,0.15,0.36349280638587894
5,38,0.5,0.2,0.055874216790522
10,38,0.5,0.2,0.1419336764050545
20,38,0.5,0.15,0.36349280638587894
5,39,0.5,0.2,0.055874216790522
10,39,0.5,0.2,0.1419336764050545
20,39,0.5,0.15,0.36349280638587894
5,40,0.5,0.2,0.055874216790522
10,40,0.5,0.2,0.1419336764050545
20,40,0.5,0.15,0.36349280638587894
5,41,0.5,0.2,0.055874216790522
10,41,0.5,0.2,0.1419336764050545
20,41,0.5,0.15,0.36349280638587894
5,42,0.5,0.2,0.055874216790522
10,42,0.5,0.2,0.1419336764050545
20,42,0.5,0.15,0.36349280638587894
5,43,0.5,0.2,0.055874216790522
10,43,0.5,0.2,0.1419336764050545
20,43,0.5,0.15,0.36349280638587894
5,44,0.5,0.2,0.055874216790522
10,44,0.5,0.2,0.1419336764050545
20,44,0.5,0.15,0.36349280638587894
5,45,0.5,0.2,0.055874216790522
10,45,0.5,0.2,0.1419336764050545
20,45,0.5,0.15,0.36349280638587894
5,46,0.5,0.2,0.055874216790522
10,46,0.5,0.2,0.1419336764050545
20,46,0.5,0.15,0.36349280638587894
5,47,0.5,0.2,0.055874216790522
10,47,0.5,0.2,0.1419336764050545
20,47,0.5,0.15,0.36349280638587894
5,48,0.5,0.2,0.055874216790522
10,48,0.5,0.2,0.1419336764050545
20,48,0.5,0.15,0.36349280638587894
5,49,0.5,0.2,0.055874216790522
10,49,0.5,0.2,0.1419336764050545
20,49,0.5,0.15,0.36349280638587894
