stock,return_ratio,movement
360ONE,-0.0340508268952184,0
AARTIIND,-0.0185025284003195,0
AAVAS,-0.0110035315597145,0
ABB,-0.007336523497597,0
ABBOTINDIA,-0.0117291218703593,0
ABCAPITAL,-0.0051159326006659,0
ABFRL,-0.011827691124872,0
ABSLAMC,-0.0260206893186319,0
ACC,-0.0053250773993808,0
ACE,-0.038358458961474,0
ADANIENT,-0.0021027350084118,0
ADANIGREEN,-0.0164594607587953,0
ADANIPORTS,-0.0184837744223807,0
ADANIPOWER,-0.0096106577185947,0
AFFLE,-0.0292956070457457,0
AIAENG,0.0165856430634487,1
AJANTPHARM,-0.0109063457589844,0
ALKEM,-0.0001976414142455,0
ALKYLAMINE,0.0018148960733751,1
ALOKINDS,-0.0039623537191645,0
AMBER,-0.0334164682794373,0
AMBUJACEM,0.0042930243452519,1
ANANDRATHI,-0.0161520504278936,0
ANANTRAJ,0.0575368360076847,1
ANGELONE,-0.0390375028219247,0
APARINDS,-0.0755057097012686,0
APLAPOLLO,-0.0342403715859639,0
APLLTD,-0.0235913879981676,0
APOLLOHOSP,-0.0395469037217749,0
APOLLOTYRE,-0.030515984783731,0
APTUS,-0.0098657060507961,0
ASAHIINDIA,-0.0092103560180813,0
ASHOKLEY,-0.0079726015983397,0
ASIANPAINT,0.0182107642945149,1
ASTERDM,-0.0049600194647796,0
ASTRAL,-0.0161832075233907,0
ASTRAZEN,-0.0290901503481681,0
ATGL,0.0023461175070405,1
ATUL,-0.0103463114793136,0
AUBANK,-0.0025532878054149,0
AUROPHARMA,-0.0122157807984104,0
AVANTIFEED,-0.0263919013945242,0
AXISBANK,0.0069788769759953,1
BAJAJ-AUTO,-0.0190742436027079,0
BAJAJFINSV,0.0084682810875055,1
BAJAJHLDNG,0.015268482338296,1
BAJFINANCE,0.0001971331043517,1
BALAMINES,-0.0143516154421936,0
BALKRISIND,0.012908291154452,1
BALRAMCHIN,-0.0148199394045332,0
BANDHANBNK,-0.0210349373900302,0
BANKBARODA,0.0021078474585872,1
BANKINDIA,-0.0009978891830624,0
BASF,-0.0318218195111152,0
BATAINDIA,-0.0025624995447216,0
BAYERCROP,-0.0162674695546667,0
BBTC,0.0036823107322069,1
BDL,-0.0024477375719291,0
BEL,-0.0170730841510011,0
BEML,-0.0275361617108898,0
BERGEPAINT,0.0237119384089336,1
BHARATFORG,-0.0169284384490702,0
BHARTIARTL,0.0052487511167494,1
BHEL,-0.0153456636181667,0
BIOCON,-0.0291617463541131,0
BIRLACORPN,-0.0008596036070174,0
BLS,-0.0347277940183226,0
BLUEDART,-0.0126758133324564,0
BLUESTARCO,-0.0221742370973589,0
BOSCHLTD,0.0016702452557177,1
BPCL,0.0141442348366433,1
BRITANNIA,0.0057219519569041,1
BSE,0.0022456244260431,1
BSOFT,-0.0063013921589611,0
CAMS,-0.0350187650089903,0
CANBK,-0.0074589081071534,0
CANFINHOME,-0.0131504806091698,0
CAPLIPOINT,0.0127214797517284,1
CARBORUNIV,-0.0215400877277205,0
CASTROLIND,0.0265535868697841,1
CCL,-0.0274729501427971,0
CDSL,-0.0206680742492892,0
CEATLTD,-0.0076176689477973,0
CENTRALBK,-0.0082831068440567,0
CENTURYPLY,-0.020292772608015,0
CERA,-0.0266890020497756,0
CESC,-0.0268369962615068,0
CGCL,0.0195000814969266,1
CGPOWER,-0.0325905956807079,0
CHALET,-0.0182719916470895,0
CHAMBLFERT,-0.0032858586409233,0
CHEMPLASTS,-0.0155155155155155,0
CHENNPETRO,0.0181156621488837,1
CHOLAFIN,-0.000587753244756,0
CHOLAHLDNG,0.005869692632488,1
CIEINDIA,-0.0170593875503902,0
CIPLA,-0.0017028460656177,0
CLEAN,-0.0238423034645381,0
COALINDIA,0.0014481885494036,1
COCHINSHIP,-0.0062260617976955,0
COFORGE,-0.0064656185355259,0
COLPAL,0.0161358063763704,1
CONCOR,0.0033144814941178,1
COROMANDEL,-0.0055428073291512,0
CRAFTSMAN,-0.0097636735991518,0
CREDITACC,0.1295137780287096,1
CRISIL,-0.0228596582510856,0
CROMPTON,0.0028497428638398,1
CUB,-0.0079877872326429,0
CUMMINSIND,-0.0001896182825568,0
CYIENT,-0.0184669806797258,0
DABUR,0.0096295447336352,1
DALBHARAT,0.0004724054944768,1
DATAPATTNS,-0.0316659281472373,0
DBREALTY,-0.0092095021206374,0
DEEPAKFERT,-0.0213690437602964,0
DEEPAKNTR,-0.0093912379942067,0
DEVYANI,-0.0250115311300001,0
DIVISLAB,-0.0066944188189213,0
DIXON,-0.0837856384443166,0
DLF,-0.0101134833873789,0
DMART,0.0033156543899897,1
DRREDDY,0.014205875090251,1
EASEMYTRIP,-0.0222222464425224,0
ECLERX,-0.0162508393998861,0
EICHERMOT,-0.002723351922219,0
EIDPARRY,-0.0241703892185278,0
EIHOTEL,-0.0031964154942731,0
ELECON,-0.0097270101165495,0
ELGIEQUIP,-0.0010392787088584,0
EMAMILTD,-0.0080735037813941,0
ENDURANCE,-0.0014030349353724,0
ENGINERSIN,0.00093556741675,1
EQUITASBNK,-0.0345516581569435,0
ERIS,-0.0019983131478135,0
ESCORTS,0.0007789678818663,1
EXIDEIND,-0.0088008206658584,0
FACT,-0.0113316398005162,0
FEDERALBNK,-0.0091733697277868,0
FINCABLES,-0.0216906612237888,0
FINEORG,-0.0010369755898581,0
FINPIPE,-0.0308269488073194,0
FLUOROCHEM,-0.0060621622078769,0
FORTIS,-0.015302998879673,0
FSL,-0.0249539150580556,0
GAEL,-0.0096653867353759,0
GAIL,0.0242931988150182,1
GESHIP,-0.0168747817386097,0
GICRE,-0.0131447735992099,0
GILLETTE,-0.015392875019055,0
GLAND,-0.0001351314793663,0
GLAXO,-0.0103536805365731,0
GLENMARK,-0.0086172917958017,0
GMDCLTD,-0.0041224616628678,0
GMRAIRPORT,0.0022181389652812,1
GNFC,0.0051401849097143,1
GODFRYPHLP,-0.021649152696515,0
GODREJAGRO,-0.0245160222422378,0
GODREJCP,0.0021232915789841,1
GODREJPROP,-0.0331428861792734,0
GPIL,-0.0219621155094458,0
GPPL,-0.0177511453454552,0
GRANULES,-0.0124978923502667,0
GRAPHITE,-0.0110278158760914,0
GRASIM,-0.012767250987942,0
GRINDWELL,-0.017887447543458,0
GRINFRA,-0.0146712646167839,0
GRSE,-0.0202280239192953,0
GSFC,-0.0140103769067954,0
GSPL,-0.0200865168414967,0
GUJGASLTD,-0.0138806613067327,0
GVT&D,0.0,0
HAL,-0.0128741843331723,0
HAPPSTMNDS,-0.0090451544670248,0
HAVELLS,0.0046758365194882,1
HCLTECH,0.0085338217842282,1
HDFCAMC,-0.0022717783999132,0
HDFCBANK,-0.0111474117624512,0
HDFCLIFE,-0.0029845537772083,0
HEG,-0.0289117008366407,0
HEROMOTOCO,-0.005754311689989,0
HFCL,-0.0175904548062703,0
HINDALCO,0.0036783993397134,1
HINDCOPPER,0.0067189804389157,1
HINDPETRO,0.0133350433291119,1
HINDUNILVR,0.0042663338478994,1
HINDZINC,-0.0105896781390447,0
HOMEFIRST,-0.0062188800080973,0
HONAUT,-0.0182839774166231,0
HSCL,0.0045630689308446,1
HUDCO,-0.0046752067342534,0
ICICIBANK,-0.0121164744967754,0
ICICIGI,-0.0130063176912852,0
ICICIPRULI,-0.0147125393396764,0
IDBI,-0.0151855470078176,0
IDEA,-0.0086849435302962,0
IDFCFIRSTB,0.0033632752048155,1
IEX,0.0008634726358815,1
IFCI,-0.0074074483182387,0
IGL,-0.0540916721833286,0
IIFL,0.0313241869915019,1
INDHOTEL,-0.0202429143997984,0
INDIACEM,-0.0010593058528041,0
INDIAMART,0.0026595685229287,1
INDIANB,-0.0075291015108274,0
INDIGO,-0.0153514285943115,0
INDUSINDBK,-0.002592504937233,0
INDUSTOWER,0.0067042884289226,1
INFY,0.0011912105327744,1
INOXWIND,-0.0234049234287234,0
INTELLECT,-0.0543011483875788,0
IOB,-0.0066523214347023,0
IOC,0.0020100072119444,1
IPCALAB,-0.0243080971488544,0
IRB,-0.0188452507582215,0
IRCON,-0.0067395352814582,0
IRCTC,-0.0070931274415451,0
IRFC,-0.0152740170393482,0
ISEC,-0.0095490428363542,0
ITC,0.0191566551503394,1
ITI,-0.0213287313943684,0
J&KBANK,-0.0087027591896829,0
JBCHEPHARM,-2.639345644112574e-05,0
JBMA,-0.0091763614276303,0
JINDALSAW,-0.0112360220054831,0
JINDALSTEL,0.0011683844831642,1
JKCEMENT,-0.0146053653188751,0
JKLAKSHMI,0.0036706913236589,1
JKTYRE,0.0026734394670091,1
JMFINANCIL,-0.0200980787222999,0
JPPOWER,-0.0075275659912789,0
JSL,-0.0352017289999778,0
JSWENERGY,-0.027365144229045,0
JSWSTEEL,-0.0104189516639443,0
JUBLFOOD,-0.0116562075547415,0
JUBLINGREA,-0.0569635538116493,0
JUBLPHARMA,0.0148853099072718,1
JUSTDIAL,-0.0022580195132488,0
JWL,-0.0155546582246777,0
JYOTHYLAB,0.0061565061296655,1
KAJARIACER,-0.0212235868195145,0
KALYANKJIL,-0.0228922989328746,0
KANSAINER,-0.012854973235054,0
KARURVYSYA,-0.0264171467813114,0
KEC,-0.0689379406041435,0
KEI,-0.0111763188647821,0
KIMS,0.0177870936511591,1
KIRLOSBROS,-0.0216282530841427,0
KIRLOSENG,-0.02259272152934,0
KNRCON,0.0031283132120976,1
KOTAKBANK,-0.0019186954772022,0
KPITTECH,-0.0307410171727336,0
KPRMILL,-0.0282119750163244,0
KSB,-0.0112886830638003,0
LALPATHLAB,-0.0342185329720183,0
LATENTVIEW,-0.0204060815204523,0
LAURUSLABS,-0.0022043213228598,0
LEMONTREE,-0.0119382877694926,0
LICHSGFIN,-0.0039306993628311,0
LINDEINDIA,0.0014922740543835,1
LODHA,0.0071601533365187,1
LT,-0.0128866551046149,0
LTF,0.0289896187459741,1
LTIM,0.0216954981555073,1
LTTS,0.0061003742246373,1
LUPIN,-0.0447479500222327,0
M&M,-0.0073178182560655,0
M&MFIN,0.0057730692359792,1
MAHABANK,-0.0222438905297256,0
MAHLIFE,-0.0165325340476452,0
MAHSEAMLES,-0.0183921967830347,0
MANAPPURAM,-0.0115876908152679,0
MAPMYINDIA,0.0029926082553952,1
MARICO,-0.0080795473028101,0
MARUTI,0.0085912140283476,1
MASTEK,-0.0158890678770921,0
MAXHEALTH,0.0040472113195196,1
MAZDOCK,-0.0113962519088268,0
MCX,-0.0143813687208087,0
METROBRAND,-0.008843224673906,0
METROPOLIS,-0.004176698983819,0
MFSL,-0.0202887469058202,0
MGL,0.0061451435787542,1
MINDACORP,0.0045241495454488,1
MMTC,0.074429075240841,1
MOTHERSON,-0.0123940559847203,0
MOTILALOFS,-0.0308247568793683,0
MPHASIS,-0.0004612991381824,0
MRF,-0.011160085614794,0
MRPL,0.0274009918212597,1
MUTHOOTFIN,-0.0135572290228473,0
NAM-INDIA,-0.0294015911449325,0
NATCOPHARM,-0.0058807558219132,0
NATIONALUM,-0.0072375352592146,0
NAUKRI,-0.0238842435603108,0
NAVINFLUOR,0.0042692847963556,1
NBCC,0.0061604141782761,1
NCC,-0.0282153970746289,0
NESTLEIND,0.0032766096135128,1
NETWORK18,-0.0073922963129089,0
NEWGEN,-0.0226393335296297,0
NH,0.0104343780629367,1
NHPC,-0.0025256574688021,0
NIACL,-0.0173275712486023,0
NLCINDIA,-0.0068641965410588,0
NMDC,0.0004547296882968,1
NTPC,-0.0097382832857117,0
NUVOCO,-0.0007038288046405,0
NYKAA,-0.0161917086974833,0
OBEROIRLTY,0.0061717454281341,1
OFSS,-0.013748420814489,0
OIL,0.0365763670604169,1
OLECTRA,-0.0106711919823364,0
ONGC,0.0297545155309695,1
PAGEIND,-0.0153716503255114,0
PATANJALI,-0.0053335868680864,0
PAYTM,-0.0825366389407395,0
PCBL,-0.0447641781824767,0
PEL,-0.0116487230284123,0
PERSISTENT,-0.0164342734246324,0
PETRONET,0.0016643600322343,1
PFC,-0.0255433355296554,0
PFIZER,0.0063671592453599,1
PGHH,0.0104676486079618,1
PIDILITIND,-0.0066949368091431,0
PIIND,0.010465214359448,1
PNB,-0.0110561476374774,0
PNBHOUSING,-0.0132113273423861,0
PNCINFRA,-0.0104484813616619,0
POLICYBZR,-0.0368830138449468,0
POLYCAB,-0.0360540841256055,0
POLYMED,-0.0303765347412039,0
POONAWALLA,0.0164244522716557,1
POWERGRID,0.0052450682563303,1
POWERINDIA,-0.02766101261993,0
PRAJIND,-0.0220781457555835,0
PRESTIGE,-0.0093782412099273,0
QUESS,-0.0152846629795546,0
RADICO,-0.0340531215394014,0
RAILTEL,0.0246434115742288,1
RAJESHEXPO,-0.0114497361394687,0
RAMCOCEM,-0.0139004890914009,0
RATNAMANI,-0.0155645691412795,0
RAYMOND,-0.0313160009054738,0
RBLBANK,-0.0262618991576233,0
RCF,-0.0298944776792677,0
RECLTD,-0.0229896352668644,0
REDINGTON,-0.015093267017517,0
RELIANCE,0.0198654349027347,1
RENUKA,0.0015392861466301,1
RHIM,0.0080743695643683,1
RITES,-0.0177410411311857,0
RKFORGE,-0.0112211942230253,0
ROUTE,-0.0120846295574831,0
RTNINDIA,-0.0102318049153426,0
RVNL,0.0030037246625814,1
SAIL,-0.0153404419641743,0
SAMMAANCAP,-0.0027570803402655,0
SANOFI,0.0091035193476444,1
SAPPHIRE,-0.0418959108254787,0
SAREGAMA,-0.0434288681808961,0
SBICARD,0.0058666748629674,1
SBILIFE,-0.009879885598711,0
SBIN,-0.0097591981841894,0
SCHAEFFLER,0.0071849676866864,1
SCHNEIDER,-0.0026885085809426,0
SCI,-0.0080363927770638,0
SHREECEM,0.0009056320971184,1
SHRIRAMFIN,-0.0201628904278063,0
SHYAMMETL,0.0033288497780126,1
SIEMENS,-0.0286170265121951,0
SJVN,-0.0117996539625732,0
SKFINDIA,-0.0006856751042797,0
SOBHA,-0.0510786850397136,0
SOLARINDS,-0.0071258095861775,0
SONACOMS,-0.0193343560534986,0
SONATSOFTW,-0.0087258036550675,0
SPARC,-0.0132301005267927,0
SRF,0.0184106194903917,1
STARHEALTH,-0.014122508396612,0
SUMICHEM,-0.0255700681397175,0
SUNDARMFIN,-0.0214153694599429,0
SUNDRMFAST,-0.0080873317751624,0
SUNPHARMA,-0.0084439552406829,0
SUNTV,0.0047295081755105,1
SUPREMEIND,0.0170872020236231,1
SUVENPHAR,0.0060387922147517,1
SUZLON,-0.0139619295976577,0
SWSOLAR,-0.0069898900236264,0
SYNGENE,-0.007689678849246,0
TANLA,0.0042909259805569,1
TATACHEM,-0.0083975497900522,0
TATACOMM,0.0108215485359162,1
TATACONSUM,0.0069109691999346,1
TATAELXSI,-0.0105237562387428,0
TATAINVEST,-0.0114820437108629,0
TATAMOTORS,0.0021430976451701,1
TATAPOWER,-0.0124092731538777,0
TATASTEEL,-0.0055480991608467,0
TCS,0.0198843426369125,1
TECHM,-0.0044281029865389,0
TECHNOE,-0.0344098246930477,0
TEJASNET,-0.0165823765370591,0
THERMAX,-0.0280909494457172,0
TIINDIA,0.0138900356587199,1
TIMKEN,-0.008976200545952,0
TITAGARH,-0.0106615081698405,0
TITAN,-0.0060055485554322,0
TORNTPHARM,-0.023310105698172,0
TORNTPOWER,-0.0131063930379329,0
TRENT,-0.0254861894315088,0
TRIDENT,-0.0127466456424175,0
TRITURBINE,-0.0306825434213414,0
TRIVENI,-0.0134821435285215,0
TTML,-0.0159045327604899,0
TVSMOTOR,-0.0095197920584197,0
UBL,-0.0359216736069333,0
UCOBANK,-0.0062069070750269,0
UJJIVANSFB,0.0374706904278234,1
ULTRACEMCO,-0.0185048911967703,0
UNIONBANK,-0.0149808957413896,0
UNOMINDA,0.0085825314129797,1
UPL,-0.0089999528041138,0
USHAMART,-0.0272511214286276,0
UTIAMC,-0.0322095367788391,0
VARROC,-0.0301786582462446,0
VBL,-0.0181980194654011,0
VEDL,-0.0041271747986963,0
VGUARD,-0.020276591122189,0
VIJAYA,-0.0004133597967028,0
VINATIORGA,-0.0030755711775043,0
VIPIND,-0.0102601556260447,0
VOLTAS,-0.0085688601553078,0
VTL,-0.0332190342127019,0
WELCORP,-0.009282519193114,0
WELSPUNLIV,-0.0312304764756991,0
WESTLIFE,-0.0005461975891447,0
WHIRLPOOL,-0.0252764027146,0
WIPRO,0.0119027961949664,1
YESBANK,-0.0131440585690393,0
ZEEL,0.0329730059649493,1
ZENSARTECH,0.0201733605396167,1
ZFCVINDIA,-0.0035088532752609,0
ZOMATO,-0.0095068089740418,0
ZYDUSLIFE,-0.0193834878874317,0
